geneid	mean_length	median_length	polya_reads_num	count
PH02Gene29855	87.74	80.13	36	55
PH02Gene44334	79.56	80.44	4	5
PH02Gene38741	54.54	54.54	1	1
PH02Gene44385	85.74	85.74	1	1
PH02Gene33249	160.86	185.64	18	22
PH02Gene11134	62.53	55.88	8	14
PH02Gene29567	50.03	43.55	33	45
PH02Gene07995	67.15	60.4	57	84
PH02Gene09578	97.99	95.51	94	138
PH02Gene26606	127.54	115.48	8	14
PH02Gene35661	113.69	102.57	5	8
PH02Gene37268	52.96	49.43	11	11
PH02Gene10430	75.34	63.2	64	98
PH02Gene25545	97.07	97.07	1	2
PH02Gene00353	130.74	129.25	9	13
PH02Gene15207	62.28	55.82	4	9
PH02Gene08763	111.86	122.72	7	8
PH02Gene48567	86.68	79.8	9	14
PH02Gene26899	104.23	82.54	43	55
PH02Gene12131	107.56	103.52	14	20
PH02Gene45075	110.3	119.08	22	33
PH02Gene26655	65.11	61.82	20	23
PH02Gene17469	148.92	175.04	9	12
PH02Gene35582	56.95	49.84	100	132
PH02Gene18466	100.14	100.14	2	3
PH02Gene37952	94.56	94.45	41	58
PH02Gene45357	60.07	51.22	241	334
PH02Gene14472	94.22	90.82	13	23
PH02Gene00594	75.3	68.63	45	61
PH02Gene00738	123.84	120.59	3	6
PH02Gene18535	86.96	69.17	40	60
PH02Gene00830	132.42	113.44	19	24
PH02Gene00860	184.17	153.37	5	13
PH02Gene04907	120.2	120.2	2	5
PH02Gene04931	116.34	128.25	7	10
PH02Gene08225	97.9	97.9	1	1
PH02Gene15721	84.54	65.32	9	13
PH02Gene49373	214.71	214.71	1	3
PH02Gene23368	165.48	181.67	6	8
PH02Gene02064	63.69	63.69	1	1
PH02Gene26844	101.01	91.2	41	68
PH02Gene32799	164.62	188.14	9	11
PH02Gene07448	183.17	183.17	1	1
PH02Gene07375	114.11	108.0	27	43
PH02Gene45862	76.5	76.5	1	2
PH02Gene05732	110.56	114.97	9	10
PH02Gene06477	53.08	53.08	1	2
PH02Gene26048	30.36	30.36	2	2
PH02Gene07897	85.09	71.94	16	20
PH02Gene39188	131.05	142.68	9	12
PH02Gene08387	74.16	69.29	7	13
PH02Gene23821	102.72	91.52	9	14
PH02Gene18764	115.69	108.37	41	55
PH02Gene07183	71.23	57.23	15	25
PH02Gene42170	85.77	103.6	3	4
PH02Gene13437	85.43	73.03	125	178
PH02Gene35157	137.94	137.94	1	2
PH02Gene03123	226.77	226.77	1	5
PH02Gene25056	44.83	44.83	1	1
PH02Gene33472	115.83	118.24	43	56
PH02Gene25945	38.91	38.91	1	1
PH02Gene30460	82.33	78.1	32	45
PH02Gene06127	54.03	57.77	13	17
PH02Gene49245	168.74	205.03	5	5
PH02Gene49255	143.71	143.71	2	6
PH02Gene22797	64.76	57.71	499	677
PH02Gene01047	29.85	29.85	1	1
PH02Gene35737	97.39	97.4	2	4
PH02Gene12737	130.14	125.32	15	19
PH02Gene09832	60.61	56.5	730	1071
PH02Gene16711	128.75	128.75	2	3
PH02Gene18459	74.9	67.0	46	63
PH02Gene22419	119.67	119.67	1	1
PH02Gene41104	129.3	140.72	5	7
PH02Gene09705	59.05	49.76	12	18
PH02Gene07304	141.2	141.2	1	2
PH02Gene30421	160.04	169.82	22	23
PH02Gene18204	93.66	107.1	5	6
PH02Gene23428	84.18	71.69	622	825
PH02Gene37507	155.5	150.06	18	20
PH02Gene45304	180.21	160.01	4	4
PH02Gene00107	59.01	54.11	7	9
PH02Gene37621	104.79	104.79	1	1
PH02Gene24617	120.73	89.72	5	5
PH02Gene49265	87.7	79.92	44	70
PH02Gene06221	73.57	75.7	24	26
PH02Gene14010	96.6	83.23	10	11
PH02Gene05280	61.79	59.6	97	143
PH02Gene07080	82.93	82.93	2	3
PH02Gene20086	138.78	151.48	31	43
PH02Gene19301	65.65	59.74	51	68
PH02Gene13186	84.47	84.66	16	21
PH02Gene44517	114.97	101.27	27	41
PH02Gene42117	76.91	66.96	13	14
PH02Gene44521	262.35	262.35	1	2
PH02Gene13297	16.96	16.96	1	1
PH02Gene10813	64.42	62.18	20	28
PH02Gene26149	125.06	119.03	61	83
PH02Gene30507	50.06	33.04	3	5
PH02Gene01565	53.22	53.22	2	6
PH02Gene01429	97.13	83.81	27	35
PH02Gene00742	148.33	127.35	6	9
PH02Gene37600	50.59	36.64	5	6
PH02Gene26361	56.11	50.27	23	34
PH02Gene12746	127.3	111.12	18	23
PH02Gene42221	163.06	157.95	11	16
PH02Gene11757	89.62	80.36	14	20
PH02Gene11505	109.64	106.76	46	57
PH02Gene20087	115.04	106.83	7	10
PH02Gene45582	42.56	42.56	2	2
PH02Gene35360	82.26	70.74	4	5
PH02Gene11140	110.04	110.04	1	2
PH02Gene16782	87.24	87.24	2	2
PH02Gene44626	109.82	130.79	3	5
PH02Gene43865	92.28	99.29	6	9
PH02Gene10588	77.6	71.13	68	97
PH02Gene33924	39.79	36.42	7	12
PH02Gene22665	122.75	91.46	6	10
PH02Gene36754	106.64	104.65	5	5
PH02Gene03435	74.74	64.58	13	21
PH02Gene40553	59.29	61.63	7	9
PH02Gene32890	51.41	52.2	4	6
PH02Gene47893	118.75	132.07	17	19
PH02Gene42958	119.43	116.69	12	19
PH02Gene08216	115.84	115.84	2	3
PH02Gene20650	30.91	30.91	1	2
PH02Gene05245	88.32	78.5	24	38
PH02Gene28904	67.95	55.28	24	36
PH02Gene16123	74.59	79.26	6	9
PH02Gene31832	55.46	59.06	14	23
PH02Gene50373	82.82	43.92	3	5
PH02Gene20281	81.99	82.44	56	80
PH02Gene10322	104.73	88.77	59	86
PH02Gene00338	77.7	61.0	11	14
